2to3-3.12	compat-python3-rolling-core
evcd2vcd	gtkwave-bin
event_rpcgen.py	libevent-bin
eventlogadm	samba-bin
evince	evince-bin
evince-previewer	evince-bin
evince-thumbnailer	evince-bin
evolution	evolution-bin
evtest	evtest-bin
ex	vim-bin
exactness	efl-bin
exactness_inject	efl-bin
exactness_inspect	efl-bin
exactness_play	efl-bin
exactness_record	efl-bin
example	openpace-bin
exceltex	texlive-basic
exch	util-linux-bin
exempi	exempi-bin
exfat2img	exfatprogs-bin
exfatlabel	exfatprogs-bin
exiftool	perl-Image-ExifTool-bin
exiv2	exiv2-bin
exo-desktop-item-edit	exo-bin
exo-open	exo-bin
expand	os-core
expect	expect-bin
experttune	chirp-bin
expiry	os-core
export2sam.pl	samtools-bin
exportfs	nfs-utils-bin
expr	os-core
exr2aces	openexr-bin
exrenvmap	openexr-bin
exrheader	openexr-bin
exrinfo	openexr-bin
exrmakepreview	openexr-bin
exrmaketiled	openexr-bin
exrmultipart	openexr-bin
exrmultiview	openexr-bin
exrstdattr	openexr-bin
extconv	texlive-basic
extend_dmalloc	kde-dev-scripts-bin
extlinux	syslinux-bin
extractattr	kde-dev-scripts-bin
extractbb	texlive-basic
extractrc	kde-dev-scripts-bin
extractres	texlive-basic
f-engrave	F-Engrave-bin
f2cpsp	poco-bin
f2fs_io	f2fs-tools-bin
f2fscrypt	f2fs-tools-bin
f2fslabel	f2fs-tools-bin
f2py	pypi-numpy-bin
f95	gcc
faas-cli	faas-cli-bin
fab	pypi-fabric-bin
factor	os-core
fadot	augeas-bin
fadvise	util-linux-bin
faillock	Linux-PAM-bin
faillog	os-core
faked	fakeroot-bin
fakeroot	fakeroot-bin
falcon-bench	pypi-falcon-bin
falcon-inspect-app	pypi-falcon-bin
falcon-print-routes	pypi-falcon-bin
fallocate	util-linux-bin
false	os-core
fancontrol	lm-sensors-bin
faqpods	perl-pmtools-bin
fast-import-filter	pypi-fastimport-bin
fast-import-info	pypi-fastimport-bin
fast-import-query	pypi-fastimport-bin
fasta-sanitize.pl	samtools-bin
fastfetch	fastfetch-bin
fatlabel	dosfstools-bin
faultstat	faultstat-bin
fax2ps	tiff-bin
fax2tiff	tiff-bin
fc-cache	fontconfig-bin
fc-cat	fontconfig-bin
fc-conflist	fontconfig-bin
fc-list	fontconfig-bin
fc-match	fontconfig-bin
fc-pattern	fontconfig-bin
fc-query	fontconfig-bin
fc-scan	fontconfig-bin
fc-validate	fontconfig-bin
fcal	wsjtx-bin
fcgistarter	httpd-bin
fd	fd-bin
fdisk	util-linux-bin
fdp	graphviz-bin
fdtdump	dtc-bin
fdtget	dtc-bin
fdtoverlay	dtc-bin
fdtput	dtc-bin
fdupes	fdupes-bin
fectest	mtd-utils-bin
feh	feh-bin
fetchmail	fetchmail-bin
ffprobe	not-ffmpeg-bin
fftw-wisdom	fftw-bin
fftw-wisdom-to-conf	fftw-bin
fftwf-wisdom	fftw-bin
fftwl-wisdom	fftw-bin
fgconsole	kbd-bin
fgrep	os-core
fh2raw	libfreehand-bin
fh2svg	libfreehand-bin
fh2text	libfreehand-bin
fibmap.f2fs	f2fs-tools-bin
fidentify	testdisk-bin
fido2-assert	libfido2-bin
fido2-cred	libfido2-bin
fido2-token	libfido2-bin
fig4latex	texlive-basic
filan	socat-bin
file	file-bin
file-roller	file-roller-bin
file-table-tform-dpcpp	dpcpp-compiler-bin
filecap	libcap-ng-bin
filedumper	routino-bin
filedumper-slim	routino-bin
filedumperx	routino-bin
filefrag	e2fsprogs-extras
fileinfo	leptonica-bin
filelight	filelight-bin
filemap-verify.py	clr-avx-tools-bin
filterdiff	patchutils-bin
fincore	util-linux-bin
find	findutils-bin
find-all-symbols	llvm-bin
find-all-symbols-14	llvm14-bin
find-all-symbols-15	llvm15-bin
find-all-symbols-16	llvm16-bin
find-all-symbols-17	llvm17-bin
find-all-symbols-18	llvm18-bin
find-all-symbols-19	llvm19-bin
find-all-symbols-20	llvm-bin
find-bundle.sh	clr-find-bundle-bin
find-debuginfo	debugedit-bin
findfs	util-linux-bin
findhyph	texlive-basic
findmissingcrystal	kde-dev-scripts-bin
findmnt	util-linux-bin
findpython	pypi-findpython-bin
findrule	perl-File-Find-Rule-bin
fio	fio-basic
fio-btrace2fio	fio-basic
fio-dedupe	fio-basic
fio-genzipf	fio-basic
fio-histo-log-pctiles.py	fio-basic
fio-verify-state	fio-basic
fio2gnuplot	fio-extras
fio_generate_plots	fio-basic
fio_jsonplus_clat2csv	fio-extras
fiologparser.py	fio-extras
fiologparser_hist.py	fio-extras
firefox	firefox-basic
firewall-applet	firewalld-bin
firewall-cmd	firewalld-bin
firewall-config	firewalld-bin
firewall-offline-cmd	firewalld-bin
firewalld	firewalld-bin
fish	fish-bin
fish_indent	fish-bin
fish_key_reader	fish-bin
fitscopy	cfitsio-bin
fitshdr	wcslib-bin
fitsverify	cfitsio-bin
fix-include.sh	kde-dev-scripts-bin
fix-qdf	qpdf-bin
fixcvsdiff	patchutils-bin
fixkdeincludes	kde-dev-scripts-bin
fixparts	gptfdisk-bin
fixproc	net-snmp-bin
fixuifiles	kde-dev-scripts-bin
flac	flac-bin
flake8	pypi-flake8-bin
flare	flare-engine-bin
flarq	fldigi-bin
flash-var	efitools-bin
flash_erase	mtd-utils-bin
flash_eraseall	mtd-utils-bin
flash_lock	mtd-utils-bin
flash_otp_dump	mtd-utils-bin
flash_otp_erase	mtd-utils-bin
flash_otp_info	mtd-utils-bin
flash_otp_lock	mtd-utils-bin
flash_otp_write	mtd-utils-bin
flash_unlock	mtd-utils-bin
flashcp	mtd-utils-bin
flashfetch	fastfetch-bin
flask	pypi-flask-bin
flatpak	flatpak-bin
flatpak-bisect	flatpak-bin
flatpak-builder	flatpak-builder-bin
flatpak-coredumpctl	flatpak-bin
flatten_json	pypi-flatten_json-bin
fldigi	fldigi-bin
flea	mutt-bin
flex	flex-bin
flex++	flex-bin
flipdiff	patchutils-bin
flit	pypi-flit-bin
fllog	fllog-bin
flmsg	flmsg-bin
flnet	flnet-bin
flock	util-linux-bin
flrig	flrig-bin
fltk-config	fltk-bin
fluid	fltk-bin
fluidsynth	fluidsynth-bin
fm_cmd	opa-fm-bin
fm_cmdall	opa-fm-bin
fmeasure	wsjtx-bin
fmt	os-core
fmtave	wsjtx-bin
fmtutil	texlive-basic
fmtutil-sys	texlive-basic
fmtutil-user	texlive-basic
fnotifystat	fnotifystat-bin
fold	os-core
folks-import	folks-bin
folks-inspect	folks-bin
fontforge	fontforge-bin
fontimage	fontforge-bin
fontinst	texlive-basic
fontlint	fontforge-bin
fonttools	fonttools-bin
foomatic-rip	cups-filters-bin
forkstat	forkstat-bin
formail	procmail-bin
fortune	fortune-mod-bin
fossil	fossil-bin
fpack	cfitsio-bin
fprintd-delete	fprintd-bin
fprintd-enroll	fprintd-bin
fprintd-list	fprintd-bin
fprintd-verify	fprintd-bin
fproduct	calc-bin
fragmaster	texlive-basic
free	procps-ng-bin
freedv	freedv-bin
freerdp-proxy	FreeRDP-bin
freerdp-shadow-cli	FreeRDP-bin
freetype-config	freetype-bin
freshclam	clamav-basic
fribidi	fribidi-bin
fsadm	LVM2-bin
fsarchiver	fsarchiver-bin
fsck	util-linux-bin
fsck.bcachefs	bcachefs-tools-bin
fsck.btrfs	btrfs-progs-bin
fsck.cramfs	util-linux-bin
fsck.exfat	exfatprogs-bin
fsck.ext2	e2fsprogs-bin
fsck.ext3	e2fsprogs-bin
fsck.ext4	e2fsprogs-bin
fsck.f2fs	f2fs-tools-bin
fsck.fat	dosfstools-bin
fsck.fuse.bcachefs	bcachefs-tools-bin
fsck.msdos	dosfstools-bin
fsck.vfat	dosfstools-bin
fsck.xfs	xfsprogs-bin
fsearch	fsearch-bin
fsfreeze	util-linux-bin
fsidd	nfs-utils-bin
fsnotifywait	inotify-tools-bin
fsnotifywatch	inotify-tools-bin
fst2vcd	gtkwave-bin
fst4sim	wsjtx-bin
fstminer	gtkwave-bin
fstrim	util-linux-bin
fsview	konqueror-basic
ft.A.x	npb-bin
ft.B.x	npb-bin
ft.C.x	npb-bin
ft.D.x	npb-bin
ft.E.x	npb-bin
ft.S.x	npb-bin
ft.W.x	npb-bin
ft8code	wsjtx-bin
ftdi_eeprom	libftdi1-bin
ftfy	pypi-ftfy-bin
ftl_check	mtd-utils-bin
ftl_format	mtd-utils-bin
ftp-rfc	expect-bin
fullcircle	dwarves-bin
function_grep.pl	wine-bin
funpack	cfitsio-bin
funzip	unzip-bin
fuse2fs	e2fsprogs-extras
fuser	psmisc-bin
fusermount	fuse-bin
fusermount-glusterfs	glusterfs-bin
fusermount3	fuse-bin
futurize	pypi-future-bin
fwupdmgr	fwupd-bin
fwupdtool	fwupd-bin
g++	gcc
g++-10	compat-gcc-10
g++-11	gcc11
g++-8	gcc8
g++-9	gcc9
g++7	gcc7
g-ir-annotation-tool	gobject-introspection-bin
g-ir-compiler	gobject-introspection-bin
g-ir-doc-tool	gobject-introspection-bin
g-ir-generate	gobject-introspection-bin
g-ir-inspect	gobject-introspection-bin
g-ir-scanner	gobject-introspection-bin
g-lensfun-update-data	lensfun-bin
gacutil	mono-bin
gacutil2	mono-bin
galera_new_cluster	mariadb-basic
galera_recovery	mariadb-basic
gamma4scanimage	sane-backends-bin
ganglia2pcp	pcp-bin
gapplication	glib-bin
gawk	os-core
gawk-5.3.2	os-core
gawkbug	os-core
gbklatex	texlive-basic
gbkpdflatex	texlive-basic
gc	graphviz-bin
gcab	gcab-bin
gcalccmd	gnome-calculator-bin
gcc	gcc
gcc-10	compat-gcc-10
gcc-11	gcc11
gcc-8	gcc8
gcc-9	gcc9
gcc-ar	gcc
gcc-ar-10	compat-gcc-10
gcc-ar-11	gcc11
gcc-ar-8	gcc8
gcc-ar-9	gcc9
gcc-ar7	gcc7
gcc-nm	gcc
gcc-nm-10	compat-gcc-10
gcc-nm-11	gcc11
gcc-nm-8	gcc8
gcc-nm-9	gcc9
gcc-nm7	gcc7
gcc-ranlib	gcc
gcc-ranlib-10	compat-gcc-10
gcc-ranlib-11	gcc11
gcc-ranlib-8	gcc8
gcc-ranlib-9	gcc9
gcc-ranlib7	gcc7
gcc7	gcc7
gccgo	gcc-go
gccmakedep	gccmakedep-bin
gcm-import	gnome-color-manager-bin
gcm-inspect	gnome-color-manager-bin
gcm-picker	gnome-color-manager-bin
gcm-viewer	gnome-color-manager-bin
gcompris-qt	gcompris-qt-bin
gconf-merge-tree	GConf-bin
gconftool-2	GConf-bin
gcore	gdb-bin
gcov	gcc
gcov-10	compat-gcc-10
gcov-11	gcc11
gcov-8	gcc8
gcov-9	gcc9
gcov-dump	gcc-dev
gcov-dump-10	compat-gcc-10
gcov-dump-11	gcc11
gcov-dump-9	gcc9
gcov-tool	gcc
gcov-tool-10	compat-gcc-10
gcov-tool-11	gcc11
gcov-tool-8	gcc8
gcov-tool-9	gcc9
gcov-tool7	gcc7
gcov2perl	perl-Devel-Cover-bin
gcov7	gcc7
gcr-viewer	compat-gcr-soname1-bin
gcr-viewer-gtk4	gcr-bin
gcron.py	glusterfs-bin
gd2copypal	libgd-bin
gd2togif	libgd-bin
gd2topng	libgd-bin
gdal-config	gdal-bin
gdal2tiles	gdal-bin
gdal2tiles.py	gdal-bin
gdal2xyz	gdal-bin
gdal2xyz.py	gdal-bin
gdal_calc	gdal-bin
gdal_calc.py	gdal-bin
gdal_contour	gdal-bin
gdal_create	gdal-bin
gdal_edit	gdal-bin
gdal_edit.py	gdal-bin
gdal_fillnodata	gdal-bin
gdal_fillnodata.py	gdal-bin
gdal_footprint	gdal-bin
gdal_grid	gdal-bin
gdal_merge	gdal-bin
gdal_merge.py	gdal-bin
gdal_pansharpen	gdal-bin
gdal_pansharpen.py	gdal-bin
gdal_polygonize	gdal-bin
gdal_polygonize.py	gdal-bin
gdal_proximity	gdal-bin
gdal_proximity.py	gdal-bin
gdal_rasterize	gdal-bin
gdal_retile	gdal-bin
gdal_retile.py	gdal-bin
gdal_sieve	gdal-bin
gdal_sieve.py	gdal-bin
gdal_translate	gdal-bin
gdal_viewshed	gdal-bin
gdaladdo	gdal-bin
gdalattachpct	gdal-bin
gdalattachpct.py	gdal-bin
gdalbuildvrt	gdal-bin
gdalcompare	gdal-bin
gdalcompare.py	gdal-bin
gdaldem	gdal-bin
gdalenhance	gdal-bin
gdalinfo	gdal-bin
gdallocationinfo	gdal-bin
gdalmanage	gdal-bin
gdalmdiminfo	gdal-bin
gdalmdimtranslate	gdal-bin
gdalmove	gdal-bin
gdalmove.py	gdal-bin
gdalsrsinfo	gdal-bin
gdaltindex	gdal-bin
gdaltransform	gdal-bin
gdalwarp	gdal-bin
gdb	gdb-bin
gdb-add-index	gdb-bin
gdbm_dump	gdbm-bin
gdbm_load	gdbm-bin
gdbmtool	gdbm-bin
gdbserver	gdb-bin
gdbus	glib-bin
gdbus-codegen	glib-dev
gdcmpgif	libgd-bin
gdctl	mutter-bin
gdiffmk	groff-bin
gdisk	gptfdisk-bin
gdk-pixbuf-csource	gdk-pixbuf-bin
gdk-pixbuf-pixdata	gdk-pixbuf-bin
gdk-pixbuf-query-loaders	gdk-pixbuf-bin
gdk-pixbuf-thumbnailer	gdk-pixbuf-bin
gdm	gdm-bin
gdm-config	gdm-bin
gdm-control	openbox-bin
gdmflexiserver	gdm-bin
gdown	pypi-gdown-bin
gdparttopng	libgd-bin
gdtopng	libgd-bin
geany	geany-bin
geary	geary-bin
gedi	perl-Tk-bin
geeqie	geeqie-bin
gegl	gegl-bin
gegl-imgcmp	gegl-bin
gegps	gpsd-bin
gem	ruby-bin
gen_binary_files	libpinyin-bin
gen_client	pypi-google_apitools-bin
gen_entropy	mbedtls-bin
gen_key	mbedtls-bin
gen_packets	direwolf-bin
gen_random_ctr_drbg	mbedtls-bin
gen_unigram	libpinyin-bin
genbrk	icu4c-bin
gencat	os-core
genccode	icu4c-bin
gencfu	icu4c-bin
gencmn	icu4c-bin
gencnval	icu4c-bin
genconfig	python-kconfiglib-bin
gendef.exe	mingw-crt-bin
gendesc	lcov-bin
gendict	icu4c-bin
gendiff	rpm-bin
generic_sum	mbedtls-bin
genfio	fio-basic
gengetopt	gengetopt-bin
genhash	keepalived-bin
genhtml	lcov-bin
genhtml.pl	ltp-bin
genidl.exe	mingw-crt-bin
geninfo	lcov-bin
genl	iproute2-basic
genl-ctrl-list	libnl-bin
gennorm2	icu4c-bin
genpmda	pcp-bin
genpng	lcov-bin
genrb	icu4c-bin
genserkins	linuxcnc-bin
gensprep	icu4c-bin
gentest	samba-bin
genxs	mono-bin
geod	proj-bin
geos-config	geos-bin
geosop	geos-bin
geotifcp	libgeotiff-bin
gerbview	kicad-bin
get-iab	arp-scan-bin
get-oui	arp-scan-bin
get-versions	gpm-bin
get_cyclictest_snapshot	rt-tests-bin
get_gprof	pypi-dill-bin
get_objgraph	pypi-dill-bin
get_root_domain	perl-Domain-PublicSuffix-bin
getcap	libcap-bin
getconf	os-core
getdefs	autogen-bin
getent	os-core
getent.ldap	nss-pam-ldapd-bin
getfacl	acl-bin
getfattr	attr-bin
gethostip	syslinux-bin
getkeycodes	kbd-bin
getmapdl	texlive-basic
getopt	util-linux-bin
getpcaps	libcap-bin
getsubids	os-core
gettext	gettext-bin
gettext.sh	gettext-bin
gettextize	gettext-bin
gf_attach	glusterfs-bin
gff2gff.py	bcftools-bin
gfind_missing_files	glusterfs-bin
gflags2man.py	python-gflags-bin
gflags_completions.sh	gflags-bin
gfortran	gcc
gftodvi	texlive-basic
gftopk	texlive-basic
gftype	texlive-basic
gh	gh-bin
ghp-import	pypi-ghp_import-bin
gi-compile-repository	glib-bin
gi-decompile-typelib	glib-bin
gi-docgen	gi-docgen-bin
gi-inspect-typelib	glib-bin
gidmigrator	kdepim-runtime-bin
gids-tool	OpenSC-bin
gie	proj-bin
gif2rgb	giflib-bin
gifbuild	giflib-bin
gifclrmp	giflib-bin
gifdiff	gifsicle-bin
giffix	giflib-bin
gifsicle	gifsicle-bin
giftext	giflib-bin
giftogd2	libgd-bin
giftool	giflib-bin
gifview	gifsicle-bin
gimp	gimp-bin
gimp-3	gimp-bin
gimp-3.0	gimp-bin
gimp-console	gimp-bin
gimp-console-3	gimp-bin
gimp-console-3.0	gimp-bin
gimp-script-fu-interpreter-3.0	gimp-bin
gimp-test-clipboard	gimp-bin
gimp-test-clipboard-3	gimp-bin
gimp-test-clipboard-3.0	gimp-bin
gimptool	gimp-bin
gimptool-3	gimp-bin
gimptool-3.0	gimp-bin
ginsttest-runner	gnome-desktop-testing-bin
gio	glib-bin
gio-querymodules	glib-bin
git	git-bin
git-clang-format	llvm-bin
git-clang-format-14	llvm14-bin
git-clang-format-15	llvm15-bin
git-clang-format-16	llvm16-bin
git-clang-format-17	llvm17-bin
git-clang-format-18	llvm18-bin
git-clang-format-19	llvm19-bin
git-clang-format-20	llvm-bin
git-clang-format-dpcpp	dpcpp-compiler-bin
git-cvsserver	git-extras
git-filter-repo	pypi-git_filter_repo-bin
git-hub	hub-bin
git-icdiff	icdiff-bin
git-latexdiff	texlive-basic
git-lfs	git-lfs-bin
git-receive-pack	git-bin
git-shell	git-bin
git-upload-archive	git-bin
git-upload-pack	git-bin
git2	libgit2-bin
gitdiff	patchutils-bin
gitdiffview	patchutils-bin
gitg	gitg-bin
gitk	git-gui-bin
gitolite	gitolite-bin
gjs	gjs-bin
gjs-console	gjs-bin
gkbd-keyboard-display	libgnomekbd-bin
glad	pypi-glad-bin
gladevcp	linuxcnc-bin
gladevcp_demo	linuxcnc-bin
glances	glances-bin
glfsheal	glusterfs-bin
glib-compile-resources	glib-bin
glib-compile-schemas	glib-bin
glib-genmarshal	glib-dev
glib-gettextize	glib-bin
glib-mkenums	glib-dev
glilypond	groff-extras
glinfo	mesa-demos-bin
glmark2	glmark2-bin
glmark2-drm	glmark2-bin
glmark2-es2	glmark2-bin
glmark2-es2-drm	glmark2-bin
glmark2-es2-wayland	glmark2-bin
glmark2-wayland	glmark2-bin
global	global-bin
globash	global-bin
glslang	glslang-bin
glslangValidator	glslang-bin
glslc	shaderc-bin
glsync	mesa-demos-bin
gluster	glusterfs-bin
gluster-eventsapi	glusterfs-bin
gluster-georep-sshkey	glusterfs-bin
gluster-mountbroker	glusterfs-bin
gluster-setgfid2path	glusterfs-bin
glusterd	glusterfs-bin
glustereventsd	glusterfs-bin
glusterfind	glusterfs-bin
glusterfs	glusterfs-bin
glusterfsd	glusterfs-bin
glxinfo	mesa-demos-bin
glyphs2ufo	pypi-glyphslib-bin
gmake	make-bin
gme_player	game-music-emu-bin
gmenudbusmenuproxy	plasma-workspace-bin
gmic	gmic-bin
gml2gv	graphviz-bin
gmoccapy	linuxcnc-bin
gmsh	gmsh-bin
gnmanalyse	gdal-bin
gnmmanage	gdal-bin
gnome-autogen.sh	gnome-common-bin
gnome-boxes	gnome-boxes-bin
gnome-calculator	gnome-calculator-bin
gnome-calendar	gnome-calendar-bin
gnome-characters	gnome-characters-bin
gnome-chess	gnome-chess-bin
gnome-clocks	gnome-clocks-bin
gnome-connections	connections-bin
gnome-contacts	gnome-contacts-bin
gnome-control-center	gnome-control-center-bin
gnome-desktop-testing-runner	gnome-desktop-testing-bin
gnome-disk-image-mounter	gnome-disk-utility-bin
gnome-disks	gnome-disk-utility-bin
gnome-extensions	gnome-shell-bin
gnome-extensions-app	gnome-shell-bin
gnome-font-viewer	gnome-font-viewer-bin
gnome-help	yelp-bin
gnome-keyring	gnome-keyring-bin
gnome-keyring-3	gnome-keyring-bin
gnome-keyring-daemon	gnome-keyring-bin
gnome-logs	gnome-logs-bin
gnome-mahjongg	gnome-mahjongg-bin
gnome-music	gnome-music-bin
gnome-panel	gnome-panel-bin
gnome-panel-control	openbox-bin
gnome-photos	gnome-photos-bin
gnome-screensaver	gnome-screensaver-bin
gnome-screensaver-command	gnome-screensaver-bin
gnome-screenshot	gnome-screenshot-bin
gnome-session	gnome-session-bin
gnome-session-inhibit	gnome-session-bin
gnome-session-quit	gnome-session-bin
gnome-session-remmina	Remmina-bin
gnome-shell	gnome-shell-bin
gnome-shell-extension-tool	gnome-shell-bin
gnome-shell-test-tool	gnome-shell-bin
gnome-software	gnome-software-bin
gnome-system-monitor	gnome-system-monitor-bin
gnome-terminal	gnome-terminal-bin
gnome-text-editor	gnome-text-editor-bin
gnome-thumbnail-font	gnome-font-viewer-bin
gnome-tweaks	gnome-tweaks-bin
gnome-weather	gnome-weather-bin
gnuchess	gnuchess-bin
gnuchessu	gnuchess-bin
gnuchessx	gnuchess-bin
gnuplot	gnuplot-basic
gnutls-cli	gnutls-bin
gnutls-cli-debug	gnutls-bin
gnutls-serv	gnutls-bin
go	go
go-md2man	golang-github-cpuguy83-go-md2man-bin
goaccess	goaccess-bin
gobject-query	glib-bin
gofmt	go
goid-tool	OpenSC-bin
google-oauthlib-tool	pypi-google_auth_oauthlib-bin
gozilla	global-bin
gp-archive	binutils-bin
gp-collect-app	binutils-bin
gp-display-html	binutils-bin
gp-display-src	binutils-bin
gp-display-text	binutils-bin
gparted	gparted-bin
gpasswd	os-core
gpaste-client	gpaste-bin
gpcl6	ghostscript-bin
gpcl6c	ghostscript-bin
gpdlc	ghostscript-bin
gperf	gperf-bin
gperl	groff-extras
gpg	gnupg-bin
gpg-agent	gnupg-bin
gpg-card	gnupg-bin
gpg-connect-agent	gnupg-bin
gpg-error	libgpg-error-bin
gpg-error-config	libgpg-error-bin
gpg-mail-tube	gnupg-bin
gpg-wks-client	gnupg-bin
gpg-wks-server	gnupg-bin
gpg2	gnupg-bin
gpgconf	gnupg-bin
gpgme-config	gpgme-bin
gpgme-json	gpgme-bin
gpgme-tool	gpgme-bin
gpgparsemail	gnupg-bin
gpgrt-config	libgpg-error-bin
gpgscm	gnupg-bin
gpgsm	gnupg-bin
gpgsplit	gnupg-bin
gpgtar	gnupg-bin
gpgv	gnupg-bin
gphoto2	gphoto2-bin
gphoto2-config	libgphoto2-bin
gphoto2-port-config	libgphoto2-bin
gpinyin	groff-extras
gpiodetect	libgpiod-bin
gpioget	libgpiod-bin
gpioinfo	libgpiod-bin
gpiomon	libgpiod-bin
gpionotify	libgpiod-bin
gpioset	libgpiod-bin
gpm	gpm-bin
gpm-root	gpm-bin
gpmetis	metis-bin
gpredict	gpredict-bin
gprof	binutils-bin
gprofng	binutils-bin
gprofng-archive	binutils-bin
gprofng-collect-app	binutils-bin
gprofng-display-html	binutils-bin
gprofng-display-src	binutils-bin
gprofng-display-text	binutils-bin
gps2udp	gpsd-bin
gpsbabel	gpsbabel-bin
gpscat	gpsd-bin
gpscsv	gpsd-bin
gpsctl	gpsd-bin
gpsd	gpsd-bin
gpsdctl	gpsd-bin
gpsdebuginfo	gpsd-bin
gpsdecode	gpsd-bin
gpsfake	gpsd-bin
gpslogntp	gpsd-bin
gpsmon	gpsd-bin
gpspipe	gpsd-bin
gpsplot	gpsd-bin
gpsprof	gpsd-bin
gpsrinex	gpsd-bin
gpssnmp	gpsd-bin
gpssubframe	gpsd-bin
gputop	igt-gpu-tools-bin
gpxlogger	gpsd-bin
gql-cli	pypi-gql-bin
gr2fonttest	graphite-bin
gradio	Gradio-bin
gramps	gramps-bin
granatier	granatier-bin
grantlee_strings_extractor.py	kde-dev-scripts-bin
grap2graph	groff-bin
graphchk	metis-bin
graphml2gv	graphviz-bin
grdctl	gnome-remote-desktop-bin
gregorio	texlive-basic
gremlin_view	linuxcnc-bin
grep	os-core
grepdiff	patchutils-bin
gresource	glib-bin
grid	libyami-utils-bin
griffe	pypi-griffe-bin
grig	grig-bin
grilo-test-ui-0.3	grilo-bin
grisbi	grisbi-bin
grl-inspect-0.3	grilo-bin
grl-launch-0.3	grilo-bin
grn	groff-bin
grodvi	groff-bin
groff	groff-bin
grog	groff-extras
grolbp	groff-bin
grolj4	groff-bin
gropdf	groff-extras
grops	groff-bin
grotty	groff-bin
groupadd	os-core
groupdel	os-core
groupmems	os-core
groupmod	os-core
groups	os-core
growpart	growpart-bin
growpartfs	growpart-bin
grpc_cpp_plugin	grpc-bin
grpc_csharp_plugin	grpc-bin
grpc_node_plugin	grpc-bin
grpc_objective_c_plugin	grpc-bin
grpc_php_plugin	grpc-bin
grpc_python_plugin	grpc-bin
grpc_ruby_plugin	grpc-bin
grpck	os-core
grpconv	os-core
grpunconv	os-core
gs	ghostscript-bin
gs2_vfd	linuxcnc-bin
gsbj	ghostscript-bin
gsc	ghostscript-bin
gscreen	linuxcnc-bin
gscriptor	pcsc-tools-bin
gsdj	ghostscript-bin
gsdj500	ghostscript-bin
gsequencer	gsequencer-bin
gsettings	glib-bin
gsettings-data-convert	GConf-bin
gsettings-schema-convert	GConf-bin
gsf	libgsf-bin
gsf-office-thumbnailer	libgsf-bin
gsf-vba-dump	libgsf-bin
gsftopk	texlive-basic
gsl-config	gsl-bin
gsl-histogram	gsl-bin
gsl-randist	gsl-bin
gslj	ghostscript-bin
gslp	ghostscript-bin
gsnd	ghostscript-bin
gsound-play	gsound-bin
gspell-app1	gspell-bin
gss-client	krb5-bin
gss-server	krb5-bin
gst-device-monitor-1.0	gst-plugins-base-bin
gst-discoverer-1.0	gst-plugins-base-bin
gst-inspect-1.0	gstreamer-bin
gst-launch-1.0	gstreamer-bin
gst-play-1.0	gst-plugins-base-bin
gst-stats-1.0	gstreamer-bin
gst-tester-1.0	gstreamer-bin
gst-transcoder-1.0	gst-plugins-bad-bin
gst-typefind-1.0	gstreamer-bin
gstack	gdb-bin
gsx	ghostscript-bin
gtags	global-bin
gtags-cscope	global-bin
gtester	glib-dev
gtester-report	glib-dev
gtf	xorg-server-bin
gtk-builder-tool	gtk3-bin
gtk-demo	gtk+-bin
gtk-encode-symbolic-svg	gtk3-bin
gtk-launch	gtk3-bin
gtk-query-immodules-2.0	gtk+-bin
gtk-query-immodules-3.0	gtk3-bin
gtk-query-settings	gtk3-bin
gtk-update-icon-cache	gtk3-bin
gtk3-demo	gtk3-bin
gtk3-demo-application	gtk3-bin
gtk3-icon-browser	gtk3-bin
gtk3-widget-factory	gtk3-bin
gtk4-builder-tool	gtk4-bin
gtk4-demo	gtk4-bin
gtk4-demo-application	gtk4-bin
gtk4-encode-symbolic-svg	gtk4-bin
gtk4-image-tool	gtk4-bin
gtk4-launch	gtk4-bin
gtk4-node-editor	gtk4-bin
gtk4-path-tool	gtk4-bin
gtk4-print-editor	gtk4-bin
gtk4-query-settings	gtk4-bin
gtk4-rendernode-tool	gtk4-bin
gtk4-update-icon-cache	gtk4-bin
gtk4-widget-factory	gtk4-bin
gtkdoc-check	gtk-doc-bin
gtkdoc-depscan	gtk-doc-bin
gtkdoc-fixxref	gtk-doc-bin
gtkdoc-mkdb	gtk-doc-bin
gtkdoc-mkhtml	gtk-doc-bin
gtkdoc-mkhtml2	gtk-doc-bin
gtkdoc-mkman	gtk-doc-bin
gtkdoc-mkpdf	gtk-doc-bin
gtkdoc-rebase	gtk-doc-bin
gtkdoc-scan	gtk-doc-bin
gtkdoc-scangobj	gtk-doc-bin
gtkdocize	gtk-doc-bin
gtkwave	gtkwave-bin
guards	quilt-bin
guess-ploidy.py	bcftools-bin
guiconfig	python-kconfiglib-bin
guild	guile-bin
guile	guile-bin
guile-config	guile-bin
guile-snarf	guile-bin
guile-tools	guile-bin
gunicorn	pypi-gunicorn-bin
gunicorn_pecan	pypi-pecan-bin
gunzip	gzip-bin
gusbcmd	libgusb-bin
gv2gml	graphviz-bin
gv2gxl	graphviz-bin
gvcolor	graphviz-bin
gvgen	graphviz-bin
gview	gvim-bin
gvim	gvim-bin
gvimdiff	gvim-bin
gvimtutor	gvim-bin
gvmap	graphviz-bin
gvmap.sh	graphviz-bin
gvnccapture	gtk-vnc-bin
gvpack	graphviz-bin
gvpr	graphviz-bin
