2to3-3.12	compat-python3-rolling-core
alsaloop	alsa-utils-bin
alsamixer	alsa-utils-bin
alsatplg	alsa-utils-bin
alsaucm	alsa-utils-bin
altonegen	openal-soft-bin
amazon-efs-mount-watchdog	amazon-efs-utils-bin
amazon-ssm-agent	amazon-ssm-agent-bin
amd_hdmi_compliance	igt-gpu-tools-bin
amdgpu-arch	llvm-bin
amdgpu-arch-16	llvm16-bin
amdgpu-arch-17	llvm17-bin
amdgpu-arch-18	llvm18-bin
amdgpu-arch-19	llvm19-bin
amdgpu-arch-20	llvm-bin
amdgpu-arch-dpcpp	dpcpp-compiler-bin
amidi	alsa-utils-bin
amixer	alsa-utils-bin
ampctl	hamlib-bin
ampctld	hamlib-bin
amstex	texlive-basic
amuFormat.sh	mtools-bin
anacron	cronie-bin
analyseplugin	ladspa_sdk-bin
analyze	hunspell-bin
analyze-build	llvm-bin
analyze-build-14	llvm14-bin
analyze-build-15	llvm15-bin
analyze-build-16	llvm16-bin
analyze-build-17	llvm17-bin
analyze-build-18	llvm18-bin
analyze-build-19	llvm19-bin
analyze-build-20	llvm-bin
analyze-build-dpcpp	dpcpp-compiler-bin
animate	ImageMagick-bin
annot-tsv	htslib-bin
annotate	libgd-bin
ansi2html	pypi-ansi2html-bin
ansible	ansible-core-bin
ansible-builder	pypi-ansible_builder-bin
ansible-community	ansible-bin
ansible-config	ansible-core-bin
ansible-console	ansible-core-bin
ansible-doc	ansible-core-bin
ansible-galaxy	ansible-core-bin
ansible-inventory	ansible-core-bin
ansible-playbook	ansible-core-bin
ansible-pull	ansible-core-bin
ansible-test	ansible-core-bin
ansible-vault	ansible-core-bin
ant	apache-ant-bin
antRun	apache-ant-bin
aomdec	libaom-bin
aomenc	libaom-bin
apacheconfigtool	pypi-apacheconfig-bin
apachectl	httpd-bin
aplay	alsa-utils-bin
aplaymidi	alsa-utils-bin
aplaymidi2	alsa-utils-bin
append-file-dpcpp	dpcpp-compiler-bin
append2simg	simg-tools
apply-kconfig	kernel-config
applygeo	libgeotiff-bin
applygnupgdefaults	gnupg-bin
applyplugin	ladspa_sdk-bin
appserver	direwolf-bin
appstream-builder	appstream-glib-bin
appstream-compose	appstream-glib-bin
appstream-util	appstream-glib-bin
appstreamcli	appstream-bin
apr-1-config	apr-bin
aprofutil	mono-bin
apropos	man-db-bin
apu-1-config	apr-util-bin
apxs	httpd-extras
ar	binutils-bin
arandr	arandr-bin
arcconf_lsmplugin	libstoragemgmt-bin
arcsign	pypi-dkimpy-bin
arcverify	pypi-dkimpy-bin
ardopcf	ardopcf-bin
arecord	alsa-utils-bin
arecordmidi	alsa-utils-bin
arecordmidi2	alsa-utils-bin
argon2	argon2-bin
argparse-manpage	pypi-argparse_manpage-bin
aria2c	aria2-bin
aria_chk	mariadb-basic
aria_dump_log	mariadb-basic
aria_ftdump	mariadb-basic
aria_pack	mariadb-basic
aria_read_log	mariadb-basic
aria_s3_copy	mariadb-basic
ark	ark-bin
arlatex	texlive-basic
arp	net-tools-basic
arp-fingerprint	arp-scan-bin
arp-scan	arp-scan-bin
arpaname	bind-utils-bin
arping	iputils-bin
arptables	iptables-bin
arptables-nft	iptables-bin
arptables-nft-restore	iptables-bin
arptables-nft-save	iptables-bin
arptables-restore	iptables-bin
arptables-save	iptables-bin
as	binutils-bin
as10k1	alsa-tools-bin
asapcat	akonadi-basic
asc2log	can-utils-bin
ascii-xfr	minicom-bin
asciidoc	asciidoc-bin
asciidoctor	asciidoctor-bin
asciinema	asciinema-bin
aseqdump	alsa-utils-bin
aseqnet	alsa-utils-bin
aseqsend	alsa-utils-bin
aserver	alsa-lib-bin
asn1Coding	libtasn1-bin
asn1Decoding	libtasn1-bin
asn1Parser	libtasn1-bin
aspell	aspell-bin
aspell-import	aspell-bin
assimp	assimp-bin
asunder	asunder-bin
asv	pypi-asv-bin
at	at-setuid
atd	at-bin
atest	direwolf-bin
atq	at-bin
atrm	at-bin
atrun	at-bin
attr	attr-bin
aubinator	mesa-bin
aubinator_error_decode	mesa-bin
aubinator_viewer	mesa-bin
aucat	sndio-bin
audacious	audacious-bin
audisp-af_unix	audit-bin
audisp-filter	audit-bin
audisp-json	audisp-json-bin
audisp-remote	audit-bin
audisp-syslog	audit-bin
audispd-zos-remote	audit-bin
auditctl	audit-bin
auditd	audit-bin
audtool	audacious-bin
augenrules	audit-bin
augmatch	augeas-bin
augparse	augeas-bin
augprint	augeas-bin
augtool	augeas-bin
aulast	audit-bin
aulastlog	audit-bin
aureport	audit-bin
ausearch	audit-bin
ausyscall	audit-bin
authconfig	authconfig-bin
authorindex	texlive-basic
authvar	pesign-bin
autoconf	autoconf-bin
autoconf213	autoconf213-bin
autoexpect	expect-bin
autogen	autogen-bin
autoheader	autoconf-bin
autoheader213	autoconf213-bin
autoinst	texlive-basic
autom4te	autoconf-bin
automake	automake-bin
automake-1.16	automake-bin
automat-visualize	pypi-automat-bin
automount	autofs-bin
autoopts-config	autogen-bin
autopasswd	expect-bin
autopoint	gettext-bin
autoreconf	autoconf-bin
autoreconf213	autoconf213-bin
autoscan	autoconf-bin
autoscan213	autoconf213-bin
autosp	texlive-basic
autossh	autossh-bin
autoupdate	autoconf-bin
autoupdate213	autoconf213-bin
av1encode	libva-utils-bin
avahi-autoipd	avahi-bin
